# PcbXY Version 1.0
# Date: za 13 feb 2021 13:51:23 GMT UTC
# Author: Bert Timmerman
# Title: 26.007.01.01.01 - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mm.  rotation in degrees.
# --------------------------------------------
C309,"CAPC3216N____.fp","100nF",26.04,23.50,270,bottom
U303,"SOIC127P600X155-8N____.fp","CA3140M",26.67,15.24,90,top
R358,"RESC3216N____.fp","15k",54.61,15.24,90,top
C308,"CAPC3216N____.fp","100nF",28.57,6.99,90,bottom
C303,"CAPAE400X530N____.fp","1uF/50V",20.95,24.13,90,top
D353,"DIOMELF3216X16N____.fp","LL4148",64.14,13.97,90,top
R353,"RESC3216N____.fp","2k2",40.64,8.26,0,top
C357,"CAPC3216N____.fp","100nF",48.90,23.50,270,bottom
R351,"RESC3216N____.fp","10k",56.52,3.17,90,top
R352,"RESC3216N____.fp","8k2",36.20,8.89,90,top
U302,"SOIC127P600X155-8N____.fp","CA3140M",16.51,15.24,90,top
R355,"RESC3216N____.fp","100k",44.45,18.41,90,top
R357,"RESC3216N____.fp","10k",43.81,23.50,0,top
R359,"RESC3216N____.fp","1k",59.05,7.62,90,top
C351,"CAPC3216N____.fp","22nF",36.20,19.68,90,top
D354,"DIOMELF3216X16N____.fp","LL4148",63.50,6.99,90,top
C355,"CAPC3216N____.fp","100nF",39.37,23.50,270,bottom
C302,"CAPC3216N____.fp","47nF",3.17,14.61,270,top
C356,"CAPC3216N____.fp","100nF",51.44,6.99,270,bottom
C354,"CAPC3216N____.fp","100nF",41.91,6.99,90,bottom
R356,"RESC3216N____.fp","82k",44.45,12.70,90,top
R310,"RESC3216N____.fp","1M",26.04,20.95,180,top
D352,"DIOMELF3216X16N____.fp","LL4148",50.80,6.99,90,top
D351,"DIOMELF3216X16N____.fp","LL4148",48.26,6.99,270,top
R361,"TRIM_Panasonic_EVM1D__.fp","10k",62.87,25.45,90,top
U351,"SOIC127P600X155-8N____.fp","CA3140M",40.01,15.24,90,top
R354,"TRIM_Panasonic_EVM1D__.fp","5k",36.83,25.45,90,top
C353,"CAPAE400X530N____.fp","1uF/50V",53.98,24.13,90,top
U301,"SOIC127P600X155-8N____.fp","CA3140M",6.99,15.24,90,top
C358,"CAPC3216N____.fp","100nF",61.59,6.99,90,bottom
TP351,"CON-TP_Keystone_5000_compact_red","Keystone 5000 compact red",59.05,27.30,0,bottom
R301,"RESC3216N____.fp","10k",23.50,3.17,90,top
C352,"CAPC3216N____.fp","22nF",36.20,14.61,270,top
P301,"CON-SIL-254P-8N____.fp","unknown",10.16,1.27,90,top
D303,"DIOMELF3216X16N____.fp","LL4148",31.11,13.97,90,top
R308,"RESC3216N____.fp","15k",21.59,15.24,90,top
C307,"CAPC3216N____.fp","100nF",15.88,23.50,270,bottom
R307,"RESC3216N____.fp","10k",10.79,23.50,0,top
R306,"RESC3216N____.fp","68k",11.43,12.70,90,top
R305,"RESC3216N____.fp","100k",11.43,18.41,90,top
R303,"RESC3216N____.fp","2k2",7.62,8.26,0,top
R309,"RESC3216N____.fp","1k",26.04,7.62,90,top
C301,"CAPC3216N____.fp","47nF",3.17,19.68,90,top
D304,"DIOMELF3216X16N____.fp","LL4148",30.48,6.99,90,top
C305,"CAPC3216N____.fp","100nF",6.35,23.50,270,bottom
R360,"RESC3216N____.fp","1M",59.05,20.95,180,top
C306,"CAPC3216N____.fp","100nF",18.41,6.99,270,bottom
C304,"CAPC3216N____.fp","100nF",8.89,6.99,90,bottom
R302,"RESC3216N____.fp","6k8",3.17,8.89,90,top
C359,"CAPC3216N____.fp","100nF",59.05,23.50,270,bottom
D302,"DIOMELF3216X16N____.fp","LL4148",17.78,6.99,90,top
D301,"DIOMELF3216X16N____.fp","LL4148",15.24,6.99,270,top
R311,"TRIM_Panasonic_EVM1D__.fp","10k",29.84,25.45,90,top
R304,"TRIM_Panasonic_EVM1D__.fp","5k",3.81,25.45,90,top
U352,"SOIC127P600X155-8N____.fp","CA3140M",49.53,15.24,90,top
TP302,"CON-TP_Keystone_5001_compact_black.fp","Keystone 5001 compact black",34.29,4.45,0,bottom
TP301,"CON-TP_Keystone_5000_compact_red","Keystone 5000 compact red",26.04,27.30,0,bottom
U353,"SOIC127P600X155-8N____.fp","CA3140M",59.69,15.24,90,top
